"evento_data","horario","reservas","checkins","no-show","(%) no-show"
"2024-05-10","12:00:00","0","3","-3","0.00%"
"2024-05-10","12:30:00","4","9","-5","-125.00%"
"2024-05-10","13:00:00","11","13","-2","-18.18%"
"2024-05-10","13:30:00","8","16","-8","-100.00%"
"2024-05-10","14:00:00","21","43","-22","-104.76%"
"2024-05-10","14:30:00","41","32","9","21.95%"
"2024-05-10","15:00:00","30","14","16","53.33%"
"2024-05-10","15:30:00","17","1","16","94.12%"
"2024-05-10","16:00:00","8","7","1","12.50%"
"2024-05-10","16:30:00","2","2","0","0.00%"
"2024-05-10","17:00:00","3","1","2","66.67%"
"2024-05-11","09:30:00","0","6","-6","0.00%"
"2024-05-11","10:00:00","13","31","-18","-138.46%"
"2024-05-11","10:30:00","24","32","-8","-33.33%"
"2024-05-11","11:00:00","38","30","8","21.05%"
"2024-05-11","11:30:00","14","31","-17","-121.43%"
"2024-05-11","12:00:00","50","31","19","38.00%"
"2024-05-11","12:30:00","35","49","-14","-40.00%"
"2024-05-11","13:00:00","43","27","16","37.21%"
"2024-05-11","13:30:00","32","31","1","3.13%"
"2024-05-11","14:00:00","36","30","6","16.67%"
"2024-05-11","14:30:00","35","29","6","17.14%"
"2024-05-11","15:00:00","34","48","-14","-41.18%"
"2024-05-11","15:30:00","56","75","-19","-33.93%"
"2024-05-11","16:00:00","75","57","18","24.00%"
"2024-05-11","16:30:00","49","33","16","32.65%"
"2024-05-11","17:00:00","37","8","29","78.38%"
"2024-05-11","17:30:00","0","13","-13","0.00%"
"2024-05-12","09:30:00","0","6","-6","0.00%"
"2024-05-12","10:00:00","20","46","-26","-130.00%"
"2024-05-12","10:30:00","28","35","-7","-25.00%"
"2024-05-12","11:00:00","47","33","14","29.79%"
"2024-05-12","11:30:00","36","26","10","27.78%"
"2024-05-12","12:00:00","21","10","11","52.38%"
"2024-05-12","12:30:00","5","0","5","100.00%"
"2024-05-12","13:00:00","2","10","-8","-400.00%"
"2024-05-12","13:30:00","12","23","-11","-91.67%"
"2024-05-12","14:00:00","22","31","-9","-40.91%"
"2024-05-12","14:30:00","37","15","22","59.46%"
"2024-05-12","15:00:00","27","21","6","22.22%"
"2024-05-12","15:30:00","15","30","-15","-100.00%"
"2024-05-12","16:00:00","21","13","8","38.10%"
"2024-05-12","16:30:00","11","20","-9","-81.82%"
"2024-05-12","17:00:00","22","2","20","90.91%"
"2024-05-14","09:30:00","0","47","-47","0.00%"
"2024-05-14","10:00:00","165","91","74","44.85%"
"2024-05-14","10:30:00","203","125","78","38.42%"
"2024-05-14","11:00:00","171","178","-7","-4.09%"
"2024-05-14","11:30:00","136","132","4","2.94%"
"2024-05-14","12:00:00","120","75","45","37.50%"
"2024-05-14","12:30:00","75","47","28","37.33%"
"2024-05-14","13:00:00","66","63","3","4.55%"
"2024-05-14","13:30:00","93","100","-7","-7.53%"
"2024-05-14","14:00:00","216","75","141","65.28%"
"2024-05-14","14:30:00","134","108","26","19.40%"
"2024-05-14","15:00:00","209","175","34","16.27%"
"2024-05-14","15:30:00","198","179","19","9.60%"
